experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
imb_none,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.1575505285263048,16,9782,5,11,15,9767,0.3125,0.25,0.001533428746677571,0.9564058985892456,0.1709395666795762
imb_none,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.07697458066046238,16,9782,10,6,69,9713,0.625,0.12658227848101267,0.0070537722347168265,0.9564058985892456,0.1709395666795762
imb_none,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.06415834024548533,16,9782,10,6,116,9666,0.625,0.07936507936507936,0.011858515640973216,0.9564058985892456,0.1709395666795762
imb_none,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.004152531502768387,16,9782,13,3,505,9277,0.8125,0.025096525096525095,0.05162543447147822,0.9564058985892456,0.1709395666795762
imb_none,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.1575505285263048,17,9741,2,15,7,9734,0.11764705882352941,0.2222222222222222,0.0007186120521507032,0.9440992288507642,0.14313586913642906
imb_none,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.07697458066046238,17,9741,10,7,71,9670,0.5882352941176471,0.12345679012345678,0.00728877938609999,0.9440992288507642,0.14313586913642906
imb_none,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.06415834024548533,17,9741,11,6,125,9616,0.6470588235294118,0.08088235294117647,0.0128323580741197,0.9440992288507642,0.14313586913642906
imb_none,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.004152531502768387,17,9741,15,2,505,9236,0.8823529411764706,0.028846153846153848,0.05184272661944359,0.9440992288507642,0.14313586913642906
imb_none,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.1575505285263048,14,9724,0,14,12,9712,0.0,0.0,0.0012340600575894694,0.9791568725392255,0.06953466084665001
imb_none,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.07697458066046238,14,9724,7,7,81,9643,0.5,0.07954545454545454,0.008329905388728917,0.9791568725392255,0.06953466084665001
imb_none,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.06415834024548533,14,9724,9,5,141,9583,0.6428571428571429,0.06,0.014500205676676266,0.9791568725392255,0.06953466084665001
imb_none,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.004152531502768387,14,9724,12,2,509,9215,0.8571428571428571,0.023032629558541268,0.052344714109419994,0.9791568725392255,0.06953466084665001
